epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635579084775,2021-10-30T10:31:24.775,0.000,-0.152,0.284,-0.945
1635579084815,2021-10-30T10:31:24.815,0.040,-0.161,0.297,-0.950
1635579084855,2021-10-30T10:31:24.855,0.080,-0.166,0.297,-0.946
1635579084895,2021-10-30T10:31:24.895,0.120,-0.178,0.316,-0.940
1635579084935,2021-10-30T10:31:24.935,0.160,-0.162,0.348,-0.927
1635579084975,2021-10-30T10:31:24.975,0.200,-0.146,0.361,-0.928
1635579085015,2021-10-30T10:31:25.015,0.240,-0.173,0.335,-0.931
1635579085055,2021-10-30T10:31:25.055,0.280,-0.170,0.364,-0.922
1635579085095,2021-10-30T10:31:25.095,0.320,-0.164,0.351,-0.928
1635579085135,2021-10-30T10:31:25.135,0.360,-0.172,0.350,-0.928
1635579085175,2021-10-30T10:31:25.175,0.400,-0.177,0.343,-0.930
1635579085215,2021-10-30T10:31:25.215,0.440,-0.157,0.372,-0.920
1635579085255,2021-10-30T10:31:25.255,0.480,-0.162,0.368,-0.922
1635579085295,2021-10-30T10:31:25.295,0.520,-0.169,0.351,-0.926
1635579085335,2021-10-30T10:31:25.335,0.560,-0.163,0.353,-0.928
1635579085375,2021-10-30T10:31:25.375,0.600,-0.161,0.324,-0.939
1635579085415,2021-10-30T10:31:25.415,0.640,-0.172,0.319,-0.938
1635579085455,2021-10-30T10:31:25.455,0.680,-0.170,0.312,-0.940
1635579085495,2021-10-30T10:31:25.495,0.720,-0.169,0.318,-0.939
1635579085535,2021-10-30T10:31:25.535,0.760,-0.166,0.313,-0.941
1635579085575,2021-10-30T10:31:25.575,0.800,-0.175,0.300,-0.944
1635579085615,2021-10-30T10:31:25.615,0.840,-0.166,0.303,-0.943
1635579085655,2021-10-30T10:31:25.655,0.880,-0.158,0.306,-0.943
1635579085695,2021-10-30T10:31:25.695,0.920,-0.161,0.303,-0.945
1635579085735,2021-10-30T10:31:25.735,0.960,-0.165,0.292,-0.945
1635579085775,2021-10-30T10:31:25.775,1.000,-0.164,0.291,-0.947
